dev_eui,created_at,temperature_c,humidity,co2,pressure,smoke_detected
"0025CA0000000F49","2025-11-06 08:20:34","4.64","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:20:28","4.64","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:10:36","4.6","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:10:29","4.6","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:10:23","4.6","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:10:16","4.6","100","f","f","f"
"0025CA0000000F49","2025-11-06 08:00:11","0.73","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:50:26","3.74","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:50:19","3.74","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:50:12","3.74","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:50:06","3.74","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:40:13","0.73","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:40:08","0.73","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:40:01","0.73","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:30:02","1.77","99.87","f","f","f"
"0025CA0000000F49","2025-11-06 07:29:56","1.77","99.87","f","f","f"
"0025CA0000000F49","2025-11-06 07:20:10","1.22","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:20:04","1.22","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:19:58","1.22","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:19:51","1.22","100","f","f","f"
"0025CA0000000F49","2025-11-06 07:10:05","2.01","99.22","f","f","f"
"0025CA0000000F49","2025-11-06 07:09:58","2.01","99.22","f","f","f"
"0025CA0000000F49","2025-11-06 07:09:53","2.01","99.22","f","f","f"
"0025CA0000000F49","2025-11-06 07:09:46","2.01","99.22","f","f","f"
"0025CA0000000F49","2025-11-06 07:00:00","3.69","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:59:54","3.69","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:59:48","3.69","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:59:41","3.69","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:49:55","1.66","86.73","f","f","f"
"0025CA0000000F49","2025-11-06 06:49:49","1.66","86.73","f","f","f"
"0025CA0000000F49","2025-11-06 06:49:42","1.66","86.73","f","f","f"
"0025CA0000000F49","2025-11-06 06:49:36","1.66","86.73","f","f","f"
"0025CA0000000F49","2025-11-06 06:39:50","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:39:44","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:39:31","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:29:45","0.33","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:29:39","0.33","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:29:32","0.33","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:19:27","2.86","89.3","f","f","f"
"0025CA0000000F49","2025-11-06 06:19:21","2.86","89.3","f","f","f"
"0025CA0000000F49","2025-11-06 06:09:28","3.01","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:09:22","3.01","100","f","f","f"
"0025CA0000000F49","2025-11-06 06:09:16","3.01","100","f","f","f"
"0025CA0000000F49","2025-11-06 05:59:30","2.37","86.62","f","f","f"
"0025CA0000000F49","2025-11-06 05:59:24","2.37","86.62","f","f","f"
"0025CA0000000F49","2025-11-06 05:59:17","2.37","86.62","f","f","f"
"0025CA0000000F49","2025-11-06 05:59:11","2.37","86.62","f","f","f"
"0025CA0000000F49","2025-11-06 05:49:06","2.13","100","f","f","f"
"0025CA0000000F49","2025-11-06 05:39:01","1.18","81.09","f","f","f"
"0025CA0000000F49","2025-11-06 05:28:56","3.25","100","f","f","f"
"0025CA0000000F49","2025-11-06 05:18:51","0.32","100","f","f","f"
"0025CA0000000F49","2025-11-06 05:08:45","2.95","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:58:40","0.53","83.86","f","f","f"
"0025CA0000000F49","2025-11-06 04:48:48","3.26","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:48:42","3.26","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:48:35","3.26","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:38:30","-0.45","88.7","f","f","f"
"0025CA0000000F49","2025-11-06 04:28:24","4.16","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:18:27","1.38","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:18:20","1.38","100","f","f","f"
"0025CA0000000F49","2025-11-06 04:08:15","1.81","88.87","f","f","f"
"0025CA0000000F49","2025-11-06 03:58:10","3.46","100","f","f","f"
"0025CA0000000F49","2025-11-06 03:48:04","1.28","86.06","f","f","f"
"0025CA0000000F49","2025-11-06 03:38:00","0.8","98.6","f","f","f"
"0025CA0000000F49","2025-11-06 03:27:54","3.02","100","f","f","f"
"0025CA0000000F49","2025-11-06 03:17:56","3.2","100","f","f","f"
"0025CA0000000F49","2025-11-06 03:17:50","3.2","100","f","f","f"
"0025CA0000000F49","2025-11-06 03:07:51","0.63","80.65","f","f","f"
"0025CA0000000F49","2025-11-06 03:07:45","0.63","80.65","f","f","f"
"0025CA0000000F49","2025-11-06 02:57:40","3.53","88.72","f","f","f"
"0025CA0000000F49","2025-11-06 02:47:35","4.16","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:37:49","3.86","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:37:42","3.86","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:37:36","3.86","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:37:29","3.86","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:27:25","3.53","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:17:20","3","100","f","f","f"
"0025CA0000000F49","2025-11-06 02:07:15","1.9","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:57:10","0.16","82.71","f","f","f"
"0025CA0000000F49","2025-11-06 01:47:23","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:47:17","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:47:10","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:47:04","2.31","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:36:59","3.92","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:26:54","4.06","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:16:49","3.71","100","f","f","f"
"0025CA0000000F49","2025-11-06 01:06:44","3.15","100","f","f","f"
"0025CA0000000F49","2025-11-06 00:56:39","1.91","100","f","f","f"
"0025CA0000000F49","2025-11-06 00:46:41","3.79","96.35","f","f","f"
"0025CA0000000F49","2025-11-06 00:46:34","3.79","96.35","f","f","f"
"0025CA0000000F49","2025-11-06 00:36:29","4.14","100","f","f","f"
"0025CA0000000F49","2025-11-06 00:26:24","3.88","100","f","f","f"
"0025CA0000000F49","2025-11-06 00:16:19","3.5","100","f","f","f"
"0025CA0000000F49","2025-11-06 00:06:14","2.99","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:56:09","1.93","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:46:04","0.57","79.69","f","f","f"
"0025CA0000000F49","2025-11-05 23:36:18","2.77","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:36:11","2.77","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:36:04","2.77","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:35:58","2.77","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:25:54","1.39","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:15:49","4.29","100","f","f","f"
"0025CA0000000F49","2025-11-05 23:05:44","4.04","100","f","f","f"
"0025CA0000000F49","2025-11-05 22:55:39","3.71","100","f","f","f"
"0025CA0000000F49","2025-11-05 22:45:33","3.19","100","f","f","f"
"0025CA0000000F49","2025-11-05 22:35:29","2.09","100","f","f","f"
"0025CA0000000F49","2025-11-05 22:25:23","2.43","81.64","f","f","f"
"0025CA0000000F49","2025-11-05 22:15:18","4.13","100","f","f","f"
"0025CA0000000F49","2025-11-05 22:05:13","3.89","100","f","f","f"
"0025CA0000000F49","2025-11-05 21:55:08","3.53","100","f","f","f"
"0025CA0000000F49","2025-11-05 21:45:03","2.1","100","f","f","f"
"0025CA0000000F49","2025-11-05 21:34:58","2.78","84.49","f","f","f"
"0025CA0000000F49","2025-11-05 21:24:53","3.83","100","f","f","f"
"0025CA0000000F49","2025-11-05 21:14:48","3.28","100","f","f","f"
"0025CA0000000F49","2025-11-05 21:04:43","2.16","100","f","f","f"
"0025CA0000000F49","2025-11-05 20:54:38","2.16","80.06","f","f","f"
"0025CA0000000F49","2025-11-05 20:44:33","3.9","100","f","f","f"
"0025CA0000000F49","2025-11-05 20:34:28","3.42","100","f","f","f"
"0025CA0000000F49","2025-11-05 20:24:23","2.26","100","f","f","f"
"0025CA0000000F49","2025-11-05 20:14:36","2.06","82.1","f","f","f"
"0025CA0000000F49","2025-11-05 20:14:31","2.06","82.1","f","f","f"
"0025CA0000000F49","2025-11-05 20:14:24","2.06","82.1","f","f","f"
"0025CA0000000F49","2025-11-05 20:14:18","2.06","82.1","f","f","f"
"0025CA0000000F49","2025-11-05 20:04:13","4.17","100","f","f","f"
"0025CA0000000F49","2025-11-05 19:54:08","3.77","100","f","f","f"
"0025CA0000000F49","2025-11-05 19:44:03","3.28","100","f","f","f"
"0025CA0000000F49","2025-11-05 19:33:58","0.97","100","f","f","f"
